2000000000,4,0,0
2000000000,5,0,0
2000010000,4,0,0
2000010000,5,0,0
2000020000,4,0,0
2000020000,5,0,0
2000030000,4,0,0
2000030000,5,0,0
2000040000,4,0,0
2000040000,5,0,0
2000050000,4,0,0
2000050000,5,0,0
2000060000,4,0,0
2000060000,5,0,0
2000070000,4,0,0
2000070000,5,0,0
2000080000,4,0,0
2000080000,5,0,0
2000090000,4,0,0
2000090000,5,0,0
2000100000,4,0,0
2000100000,5,0,0
2000110000,4,0,0
2000110000,5,0,0
2000120000,4,0,0
2000120000,5,0,0
2000130000,4,0,0
2000130000,5,0,0
2000140000,4,0,0
2000140000,5,0,0
2000150000,4,0,0
2000150000,5,0,0
2000160000,4,0,0
2000160000,5,0,0
2000170000,4,0,0
2000170000,5,0,0
2000180000,4,0,0
2000180000,5,0,0
2000190000,4,0,0
2000190000,5,0,0
2000200000,4,0,0
2000200000,5,0,0
2000210000,4,0,0
2000210000,5,0,0
2000220000,4,0,0
2000220000,5,0,0
2000230000,4,0,0
2000230000,5,0,0
2000240000,4,0,0
2000240000,5,0,0
2000250000,4,0,0
2000250000,5,0,0
2000260000,4,0,0
2000260000,5,0,0
2000270000,4,0,0
2000270000,5,0,0
2000280000,4,0,0
2000280000,5,0,0
2000290000,4,0,0
2000290000,5,0,0
2000300000,4,0,0
2000300000,5,0,0
2000310000,4,0,0
2000310000,5,0,0
2000320000,4,0,0
2000320000,5,0,0
2000330000,4,0,0
2000330000,5,0,0
2000340000,4,0,0
2000340000,5,0,0
2000350000,4,0,0
2000350000,5,0,0
2000360000,4,0,0
2000360000,5,0,0
2000370000,4,0,0
2000370000,5,0,0
2000380000,4,0,0
2000380000,5,0,0
2000390000,4,0,0
2000390000,5,0,0
2000400000,4,0,0
2000400000,5,0,0
2000410000,4,0,0
2000410000,5,0,0
2000420000,4,0,0
2000420000,5,0,0
2000430000,4,0,0
2000430000,5,0,0
2000440000,4,0,0
2000440000,5,0,0
2000450000,4,0,0
2000450000,5,0,0
2000460000,4,0,0
2000460000,5,0,0
2000470000,4,0,0
2000470000,5,0,0
2000480000,4,0,0
2000480000,5,0,0
2000490000,4,0,0
2000490000,5,0,0
2000500000,4,0,0
2000500000,5,0,0
2000510000,4,0,0
2000510000,5,0,0
2000520000,4,0,0
2000520000,5,0,0
2000530000,4,0,0
2000530000,5,0,0
2000540000,4,0,0
2000540000,5,0,0
2000550000,4,0,0
2000550000,5,0,0
2000560000,4,0,0
2000560000,5,0,0
2000570000,4,0,0
2000570000,5,0,0
2000580000,4,0,0
2000580000,5,0,0
2000590000,4,0,0
2000590000,5,0,0
2000600000,4,0,0
2000600000,5,0,0
2000610000,4,0,0
2000610000,5,0,0
2000620000,4,0,0
2000620000,5,0,0
2000630000,4,0,0
2000630000,5,0,0
2000640000,4,0,0
2000640000,5,0,0
2000650000,4,0,0
2000650000,5,0,0
2000660000,4,0,0
2000660000,5,0,0
2000670000,4,0,0
2000670000,5,0,0
2000680000,4,0,0
2000680000,5,0,0
2000690000,4,0,0
2000690000,5,0,0
2000700000,4,0,0
2000700000,5,0,0
2000710000,4,0,0
2000710000,5,0,0
2000720000,4,0,0
2000720000,5,0,0
2000730000,4,0,0
2000730000,5,0,0
2000740000,4,0,0
2000740000,5,0,0
2000750000,4,0,0
2000750000,5,0,0
2000760000,4,0,0
2000760000,5,0,0
2000770000,4,0,0
2000770000,5,0,0
2000780000,4,0,0
2000780000,5,0,0
2000790000,4,0,0
2000790000,5,0,0
2000800000,4,0,0
2000800000,5,0,0
2000810000,4,0,0
2000810000,5,0,0
2000820000,4,0,0
2000820000,5,0,0
2000830000,4,0,0
2000830000,5,0,0
2000840000,4,0,0
2000840000,5,0,0
2000850000,4,0,0
2000850000,5,0,0
2000860000,4,0,0
2000860000,5,0,0
2000870000,4,0,0
2000870000,5,0,0
2000880000,4,0,0
2000880000,5,0,0
2000890000,4,0,0
2000890000,5,0,0
2000900000,4,0,0
2000900000,5,0,0
2000910000,4,0,0
2000910000,5,0,0
2000920000,4,0,0
2000920000,5,0,0
2000930000,4,0,0
2000930000,5,0,0
2000940000,4,0,0
2000940000,5,0,0
2000950000,4,0,0
2000950000,5,0,0
2000960000,4,0,0
2000960000,5,0,0
2000970000,4,0,0
2000970000,5,0,0
2000980000,4,0,0
2000980000,5,0,0
2000990000,4,0,0
2000990000,5,0,0
2001000000,4,0,0
2001000000,5,0,0
2001010000,4,0,0
2001010000,5,0,0
