k,status,runid,flow_count,fct_avg_us,fct_p50_us,fct_p95_us,fct_p99_us,slowdown_avg,slowdown_p99,goodput_avg_gbps,goodput_p50_gbps,goodput_p95_gbps,path_switch_count,retrans_count,archive_dir,log
1,ok,k1_20260607000927_8907,4,888.881,793.619,1175.6437999999998,1221.3695599999999,1.3270445791406646,1.8234295183780715,82.48649762711864,91.7504,98.304,0,91,output_k_32path/psn_path/cc3/k1/k1_20260607000927_8907,./mix/output/k1_20260607000927_8907/config.log
4,ok,k4_20260607000940_9618,4,768.314,765.528,784.9949,787.34618,1.1470454749037056,1.175459347287331,85.7713038961039,91.7504,98.304,0,61,output_k_32path/psn_path/cc3/k4/k4_20260607000940_9618,./mix/output/k4_20260607000940_9618/config.log
8,ok,k8_20260607000954_5887,4,819.3025,805.9815000000001,860.8494499999999,867.36269,1.2231681645815293,1.2949190678092621,80.7246893081761,91.7504,98.304,0,78,output_k_32path/psn_path/cc3/k8/k8_20260607000954_5887,./mix/output/k8_20260607000954_5887/config.log
16,ok,k16_20260607001008_3549,4,803.4955,800.3315,843.48675,845.74695,1.1995692872712072,1.262648099489415,81.96201025641025,98.304,101.25311999999992,0,27,output_k_32path/psn_path/cc3/k16/k16_20260607001008_3549,./mix/output/k16_20260607001008_3549/config.log
32,ok,k32_20260607001021_7020,4,710.8742500000001,706.194,727.4165,730.3361,1.0612914663640978,1.0903468095906363,91.98035087719299,98.304,104.8576,0,5,output_k_32path/psn_path/cc3/k32/k32_20260607001021_7020,./mix/output/k32_20260607001021_7020/config.log
