FCT_US
host_count,psn_path,bitmap,gbn,falcon,ornic
256,780.0229999999999,1114.0674999999999,959.279,802.717,848.326
512,811.0699999999999,1661.286,948.2205,800.573,967.688
1024,804.506,955.06,1112.203,849.681,1027.251

GOODPUT_GBPS
host_count,psn_path,bitmap,gbn,falcon,ornic
256,84.1093761656,65.70608700245,68.31924818735,81.7103350529,77.75545144750001
512,80.86596334575,39.99322669555,69.21640230060001,81.86484325595,68.72779916625
1024,81.4637300712,68.95717569765,59.138375657750004,77.242416196,64.9862427307

RETRANS
host_count,psn_path,bitmap,gbn,falcon,ornic
256,6.5,6.5,68.0,48.5,86.5
512,7.5,10.0,55.0,60.0,87.0
1024,23.0,16.5,98.0,122.0,153.0
